concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,org:group,case:concept:name,case:variant,case:variant-index,case:creator
Completed-Closed,complete,Jüri-Org line A2,2012-02-01 11:38:06+00:00,Completed-Closed,Jüri,Org line A2,1-340984229,Variant 42,42,Fluxicon Disco
Accepted-In Progress,complete,Adriano-Org line C,2012-03-19 18:39:17+00:00,Accepted-In Progress,Adriano,Org line C,1-699370863,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Adriano-Org line C,2012-03-28 16:26:13+00:00,Completed-Closed,Adriano,Org line C,1-699370863,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Suzanne-Org line V2,2011-08-19 13:05:57+00:00,Accepted-In Progress,Suzanne,Org line V2,1-557739965,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Suzanne-Org line V2,2011-11-09 16:32:46+00:00,Accepted-Wait,Suzanne,Org line V2,1-557739965,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Suzanne-Org line V2,2012-01-19 16:12:59+00:00,Completed-Closed,Suzanne,Org line V2,1-557739965,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Stephane-Org line A2,2011-04-04 10:41:59+00:00,Accepted-In Progress,Stephane,Org line A2,1-512654811,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Stephane-Org line A2,2011-04-04 10:57:11+00:00,Queued-Awaiting Assignment,Stephane,Org line A2,1-512654811,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Stephane-Org line A2,2012-04-24 07:44:35+00:00,Accepted-In Progress,Stephane,Org line A2,1-512654811,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Stephane-Org line A2,2012-04-24 07:46:08+00:00,Completed-Closed,Stephane,Org line A2,1-512654811,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Trevor-Org line C,2012-01-23 11:23:55+00:00,Accepted-In Progress,Trevor,Org line C,1-650081295,Variant 260,260,Fluxicon Disco
Accepted-In Progress,complete,Trevor-Org line C,2012-01-23 11:24:49+00:00,Accepted-In Progress,Trevor,Org line C,1-650081295,Variant 260,260,Fluxicon Disco
Accepted-Wait,complete,Trevor-Org line C,2012-01-23 11:27:02+00:00,Accepted-Wait,Trevor,Org line C,1-650081295,Variant 260,260,Fluxicon Disco
Accepted-Assigned,complete,Trevor-Org line C,2012-01-23 11:30:15+00:00,Accepted-Assigned,Trevor,Org line C,1-650081295,Variant 260,260,Fluxicon Disco
Completed-Closed,complete,Trevor-Org line C,2012-03-30 08:56:29+00:00,Completed-Closed,Trevor,Org line C,1-650081295,Variant 260,260,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-09-14 11:07:32+00:00,Accepted-In Progress,Carolyn,Org line G3,1-574132549,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-09-14 11:15:29+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-574132549,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,SV-Org line G3,2011-09-14 11:19:35+00:00,Accepted-In Progress,SV,Org line G3,1-574132549,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-09-14 11:19:47+00:00,Accepted-Assigned,Carolyn,Org line G3,1-574132549,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-31 07:52:57+00:00,Accepted-In Progress,Ewa,Org line G3,1-574132549,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-31 07:54:31+00:00,Completed-Closed,Ewa,Org line G3,1-574132549,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ing-Marie-Org line G4,2011-01-18 09:35:34+00:00,Accepted-In Progress,Ing-Marie,Org line G4,1-441507371,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ing-Marie-Org line G4,2011-01-18 09:46:33+00:00,Queued-Awaiting Assignment,Ing-Marie,Org line G4,1-441507371,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Suresh-Org line G4,2012-02-01 11:02:01+00:00,Accepted-In Progress,Suresh,Org line G4,1-441507371,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Suresh-Org line G4,2012-03-01 09:35:17+00:00,Completed-Closed,Suresh,Org line G4,1-441507371,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Marcin-Org line A2,2011-10-31 08:05:05+00:00,Accepted-In Progress,Marcin,Org line A2,1-598583993,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Marcin-Org line A2,2011-10-31 08:05:35+00:00,Queued-Awaiting Assignment,Marcin,Org line A2,1-598583993,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Marcin-Org line A2,2011-11-04 14:19:35+00:00,Accepted-In Progress,Marcin,Org line A2,1-598583993,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Marcin-Org line A2,2012-01-18 10:28:06+00:00,Completed-Closed,Marcin,Org line A2,1-598583993,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Fredrik-Org line C,2011-12-28 03:10:10+00:00,Accepted-In Progress,Fredrik,Org line C,1-629991273,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Fredrik-Org line C,2012-02-01 11:01:35+00:00,Accepted-In Progress,Fredrik,Org line C,1-629991273,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Fredrik-Org line C,2012-02-01 11:02:09+00:00,Completed-Closed,Fredrik,Org line C,1-629991273,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Robert-Org line C,2011-10-11 15:40:48+00:00,Accepted-In Progress,Robert,Org line C,1-584861543,Variant 203,203,Fluxicon Disco
Accepted-Wait,complete,Robert-Org line C,2011-10-11 15:59:08+00:00,Accepted-Wait,Robert,Org line C,1-584861543,Variant 203,203,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2011-10-17 12:57:10+00:00,Queued-Awaiting Assignment,Robert,Org line C,1-584861543,Variant 203,203,Fluxicon Disco
Accepted-In Progress,complete,Robert-Org line C,2012-02-02 15:48:49+00:00,Accepted-In Progress,Robert,Org line C,1-584861543,Variant 203,203,Fluxicon Disco
Completed-Closed,complete,Robert-Org line C,2012-02-02 15:50:43+00:00,Completed-Closed,Robert,Org line C,1-584861543,Variant 203,203,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line C,2011-12-09 10:38:35+00:00,Accepted-In Progress,Peter,Org line C,1-621393223,Variant 240,240,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2011-12-09 11:33:04+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-621393223,Variant 240,240,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2011-12-09 11:44:12+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-621393223,Variant 240,240,Fluxicon Disco
Accepted-Assigned,complete,Marie-Org line C,2011-12-09 12:31:39+00:00,Accepted-Assigned,Marie,Org line C,1-621393223,Variant 240,240,Fluxicon Disco
Accepted-Assigned,complete,Stina-Org line C,2011-12-13 09:10:00+00:00,Accepted-Assigned,Stina,Org line C,1-621393223,Variant 240,240,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ricardo-Org line B,2011-12-15 08:43:58+00:00,Queued-Awaiting Assignment,Ricardo,Org line B,1-621393223,Variant 240,240,Fluxicon Disco
Accepted-In Progress,complete,Thiago-Org line B,2012-04-20 15:34:45+00:00,Accepted-In Progress,Thiago,Org line B,1-621393223,Variant 240,240,Fluxicon Disco
Completed-Closed,complete,Thiago-Org line B,2012-04-20 15:34:51+00:00,Completed-Closed,Thiago,Org line B,1-621393223,Variant 240,240,Fluxicon Disco
Accepted-In Progress,complete,Mattias-Org line G4,2012-04-03 12:59:14+00:00,Accepted-In Progress,Mattias,Org line G4,1-707778891,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Mattias-Org line G4,2012-04-12 11:33:01+00:00,Completed-Closed,Mattias,Org line G4,1-707778891,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Richard-Org line C,2011-10-10 05:38:10+00:00,Accepted-In Progress,Richard,Org line C,1-583931536,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Richard-Org line C,2012-02-02 14:25:02+00:00,Completed-Closed,Richard,Org line C,1-583931536,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Niklas-Org line C,2012-04-28 10:17:13+00:00,Accepted-In Progress,Niklas,Org line C,1-735185827,Variant 6,6,Fluxicon Disco
Accepted-Assigned,complete,Niklas-Org line C,2012-04-28 10:19:06+00:00,Accepted-Assigned,Niklas,Org line C,1-735185827,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Niklas-Org line C,2012-05-04 05:46:07+00:00,Accepted-In Progress,Niklas,Org line C,1-735185827,Variant 6,6,Fluxicon Disco
Completed-Closed,complete,Niklas-Org line C,2012-05-04 05:48:07+00:00,Completed-Closed,Niklas,Org line C,1-735185827,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Andrew-Org line A2,2011-07-11 14:39:07+00:00,Accepted-In Progress,Andrew,Org line A2,1-540531611,Variant 7,7,Fluxicon Disco
Accepted-Wait,complete,Andrew-Org line A2,2011-07-11 14:55:20+00:00,Accepted-Wait,Andrew,Org line A2,1-540531611,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Andrew-Org line A2,2012-05-04 15:02:55+00:00,Accepted-In Progress,Andrew,Org line A2,1-540531611,Variant 7,7,Fluxicon Disco
Completed-Closed,complete,Andrew-Org line A2,2012-05-04 15:05:22+00:00,Completed-Closed,Andrew,Org line A2,1-540531611,Variant 7,7,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2011-12-14 11:24:49+00:00,Accepted-Wait,Lisbeth,Org line A2,1-623521280,Variant 75,75,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2012-02-06 11:02:10+00:00,Accepted-In Progress,Lisbeth,Org line A2,1-623521280,Variant 75,75,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2012-02-06 16:05:17+00:00,Accepted-Wait,Lisbeth,Org line A2,1-623521280,Variant 75,75,Fluxicon Disco
Completed-Closed,complete,Lisbeth-Org line A2,2012-03-09 14:45:01+00:00,Completed-Closed,Lisbeth,Org line A2,1-623521280,Variant 75,75,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2012-02-21 14:18:27+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-685134878,Variant 278,278,Fluxicon Disco
Accepted-In Progress,complete,Karin-Org line C,2012-02-22 08:03:48+00:00,Accepted-In Progress,Karin,Org line C,1-685134878,Variant 278,278,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ing-Marie-Org line G4,2012-02-22 08:04:14+00:00,Queued-Awaiting Assignment,Ing-Marie,Org line G4,1-685134878,Variant 278,278,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2012-02-22 08:45:02+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-685134878,Variant 278,278,Fluxicon Disco
Accepted-Assigned,complete,Patrik-Org line C,2012-03-02 10:03:47+00:00,Accepted-Assigned,Patrik,Org line C,1-685134878,Variant 278,278,Fluxicon Disco
Queued-Awaiting Assignment,complete,Peter-Org line C,2012-03-02 10:25:07+00:00,Queued-Awaiting Assignment,Peter,Org line C,1-685134878,Variant 278,278,Fluxicon Disco
Accepted-Assigned,complete,Karin-Org line C,2012-03-02 10:37:56+00:00,Accepted-Assigned,Karin,Org line C,1-685134878,Variant 278,278,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ing-Marie-Org line G4,2012-03-02 11:32:26+00:00,Queued-Awaiting Assignment,Ing-Marie,Org line G4,1-685134878,Variant 278,278,Fluxicon Disco
Accepted-In Progress,complete,Suresh-Org line G4,2012-04-27 13:51:38+00:00,Accepted-In Progress,Suresh,Org line G4,1-685134878,Variant 278,278,Fluxicon Disco
Completed-Closed,complete,Suresh-Org line G4,2012-04-27 13:52:45+00:00,Completed-Closed,Suresh,Org line G4,1-685134878,Variant 278,278,Fluxicon Disco
Accepted-In Progress,complete,Andrew-Org line A2,2011-06-09 15:34:52+00:00,Accepted-In Progress,Andrew,Org line A2,1-532544114,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Andrew-Org line A2,2012-02-15 10:15:58+00:00,Accepted-In Progress,Andrew,Org line A2,1-532544114,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Andrew-Org line A2,2012-02-15 10:16:22+00:00,Completed-Closed,Andrew,Org line A2,1-532544114,Variant 4,4,Fluxicon Disco
Queued-Awaiting Assignment,complete,Hari-Org line C,2012-04-05 18:35:18+00:00,Queued-Awaiting Assignment,Hari,Org line C,1-709802751,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Donald-Org line C,2012-04-09 15:58:40+00:00,Accepted-In Progress,Donald,Org line C,1-709802751,Variant 8,8,Fluxicon Disco
Completed-Closed,complete,Donald-Org line C,2012-04-09 15:59:29+00:00,Completed-Closed,Donald,Org line C,1-709802751,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Sebastien-Org line C,2012-04-02 08:42:20+00:00,Accepted-In Progress,Sebastien,Org line C,1-706915611,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Sebastien-Org line C,2012-05-14 08:06:59+00:00,Completed-Closed,Sebastien,Org line C,1-706915611,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-04-04 09:37:27+00:00,Accepted-In Progress,Ewa,Org line G3,1-708582598,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-04-04 09:38:40+00:00,Completed-Closed,Ewa,Org line G3,1-708582598,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Petrus-Org line C,2012-01-26 10:40:36+00:00,Accepted-In Progress,Petrus,Org line C,1-652935537,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Petrus-Org line C,2012-01-26 10:45:14+00:00,Completed-Closed,Petrus,Org line C,1-652935537,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-15 12:55:14+00:00,Accepted-In Progress,Ewa,Org line G3,1-675664904,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-15 12:55:56+00:00,Completed-Closed,Ewa,Org line G3,1-675664904,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Henrik-Org line A2,2009-10-30 12:49:04+00:00,Accepted-In Progress,Henrik,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Accepted-Assigned,complete,Henrik-Org line A2,2009-10-30 12:57:13+00:00,Accepted-Assigned,Henrik,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 12:43:50+00:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-02 12:45:25+00:00,Accepted-In Progress,Katarzyna,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Accepted-Wait,complete,Katarzyna-Org line A2,2010-03-02 12:45:37+00:00,Accepted-Wait,Katarzyna,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Completed-Closed,complete,Katarzyna-Org line A2,2012-03-30 08:54:30+00:00,Completed-Closed,Katarzyna,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-23 14:21:05+00:00,Accepted-In Progress,Ewa,Org line G3,1-650008427,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-23 14:31:06+00:00,Completed-Closed,Ewa,Org line G3,1-650008427,Variant 1,1,Fluxicon Disco
Accepted-Wait,complete,Urban-Org line A2,2011-10-25 12:12:06+00:00,Accepted-Wait,Urban,Org line A2,1-594472343,Variant 76,76,Fluxicon Disco
Accepted-Assigned,complete,Urban-Org line A2,2011-11-28 10:10:24+00:00,Accepted-Assigned,Urban,Org line A2,1-594472343,Variant 76,76,Fluxicon Disco
Accepted-In Progress,complete,Urban-Org line A2,2012-02-29 13:03:00+00:00,Accepted-In Progress,Urban,Org line A2,1-594472343,Variant 76,76,Fluxicon Disco
Completed-Closed,complete,Urban-Org line A2,2012-02-29 13:03:01+00:00,Completed-Closed,Urban,Org line A2,1-594472343,Variant 76,76,Fluxicon Disco
Accepted-In Progress,complete,Erik-Org line G4,2012-01-24 07:43:58+00:00,Accepted-In Progress,Erik,Org line G4,1-650892393,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Erik-Org line G4,2012-01-25 06:28:41+00:00,Completed-Closed,Erik,Org line G4,1-650892393,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Andrew-Org line A2,2011-07-11 12:45:54+00:00,Accepted-In Progress,Andrew,Org line A2,1-540500545,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Andrew-Org line A2,2011-10-20 10:18:10+00:00,Accepted-Wait,Andrew,Org line A2,1-540500545,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Andrew-Org line A2,2012-05-04 15:05:09+00:00,Completed-Closed,Andrew,Org line A2,1-540500545,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Pär-Org line A2,2012-02-08 11:38:49+00:00,Accepted-In Progress,Pär,Org line A2,1-660785867,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Pär-Org line A2,2012-03-05 14:16:09+00:00,Completed-Closed,Pär,Org line A2,1-660785867,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Florent-Org line C,2012-01-09 18:10:00+00:00,Accepted-In Progress,Florent,Org line C,1-637327254,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Florent-Org line C,2012-03-14 11:50:13+00:00,Completed-Closed,Florent,Org line C,1-637327254,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2010-12-23 12:22:24+00:00,Accepted-In Progress,Carolyn,Org line G3,1-433161361,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-12-23 12:26:08+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-433161361,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Padmanabha-Org line G3,2010-12-23 12:55:48+00:00,Accepted-In Progress,Padmanabha,Org line G3,1-433161361,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2010-12-23 12:57:02+00:00,Accepted-Assigned,Carolyn,Org line G3,1-433161361,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 14:58:34+00:00,Accepted-In Progress,Ewa,Org line G3,1-433161361,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-30 14:58:36+00:00,Completed-Closed,Ewa,Org line G3,1-433161361,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Ann-Org line A2,2010-04-01 07:13:49+00:00,Accepted-In Progress,Ann,Org line A2,1-364458525,Variant 16,16,Fluxicon Disco
Accepted-In Progress,complete,Ann-Org line A2,2012-03-30 11:12:07+00:00,Accepted-In Progress,Ann,Org line A2,1-364458525,Variant 16,16,Fluxicon Disco
Accepted-Wait,complete,Ann-Org line A2,2012-03-30 11:12:14+00:00,Accepted-Wait,Ann,Org line A2,1-364458525,Variant 16,16,Fluxicon Disco
Completed-Closed,complete,Ann-Org line A2,2012-03-30 11:18:11+00:00,Completed-Closed,Ann,Org line A2,1-364458525,Variant 16,16,Fluxicon Disco
Accepted-In Progress,complete,Carolyn-Org line G3,2011-08-05 09:46:33+00:00,Accepted-In Progress,Carolyn,Org line G3,1-545370610,Variant 180,180,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-08-05 09:49:47+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-545370610,Variant 180,180,Fluxicon Disco
Accepted-In Progress,complete,Santhosh-Org line G3,2011-08-05 10:48:23+00:00,Accepted-In Progress,Santhosh,Org line G3,1-545370610,Variant 180,180,Fluxicon Disco
Accepted-Assigned,complete,Carolyn-Org line G3,2011-08-05 11:00:21+00:00,Accepted-Assigned,Carolyn,Org line G3,1-545370610,Variant 180,180,Fluxicon Disco
Queued-Awaiting Assignment,complete,Hannes-Org line A2,2011-09-22 22:56:57+00:00,Queued-Awaiting Assignment,Hannes,Org line A2,1-545370610,Variant 180,180,Fluxicon Disco
Accepted-Assigned,complete,Y-Org line A2,2011-09-22 22:58:15+00:00,Accepted-Assigned,Y,Org line A2,1-545370610,Variant 180,180,Fluxicon Disco
Accepted-In Progress,complete,Y-Org line A2,2011-09-23 07:47:05+00:00,Accepted-In Progress,Y,Org line A2,1-545370610,Variant 180,180,Fluxicon Disco
Accepted-Wait,complete,Y-Org line A2,2011-09-23 07:48:36+00:00,Accepted-Wait,Y,Org line A2,1-545370610,Variant 180,180,Fluxicon Disco
Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-10-26 08:01:42+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-545370610,Variant 180,180,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-06 16:02:25+00:00,Accepted-In Progress,Ewa,Org line G3,1-545370610,Variant 180,180,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-06 16:03:44+00:00,Completed-Closed,Ewa,Org line G3,1-545370610,Variant 180,180,Fluxicon Disco
Accepted-In Progress,complete,Gregory-Org line C,2011-09-05 08:57:47+00:00,Accepted-In Progress,Gregory,Org line C,1-567100387,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Gregory-Org line C,2012-02-27 13:09:00+00:00,Completed-Closed,Gregory,Org line C,1-567100387,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Reine-Org line G4,2011-10-11 13:28:17+00:00,Accepted-In Progress,Reine,Org line G4,1-584754762,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Reine-Org line G4,2012-02-01 15:36:47+00:00,Completed-Closed,Reine,Org line G4,1-584754762,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Anders-Org line A2,2012-03-29 07:16:34+00:00,Accepted-In Progress,Anders,Org line A2,1-704661542,Variant 52,52,Fluxicon Disco
Accepted-Wait,complete,Anders-Org line A2,2012-03-29 07:22:32+00:00,Accepted-Wait,Anders,Org line A2,1-704661542,Variant 52,52,Fluxicon Disco
Queued-Awaiting Assignment,complete,Anders-Org line A2,2012-03-29 09:25:11+00:00,Queued-Awaiting Assignment,Anders,Org line A2,1-704661542,Variant 52,52,Fluxicon Disco
Accepted-In Progress,complete,Rafal-Org line A2,2012-03-29 13:48:03+00:00,Accepted-In Progress,Rafal,Org line A2,1-704661542,Variant 52,52,Fluxicon Disco
Accepted-Wait,complete,Rafal-Org line A2,2012-04-11 10:03:24+00:00,Accepted-Wait,Rafal,Org line A2,1-704661542,Variant 52,52,Fluxicon Disco
Completed-Closed,complete,Rafal-Org line A2,2012-04-11 10:33:19+00:00,Completed-Closed,Rafal,Org line A2,1-704661542,Variant 52,52,Fluxicon Disco
Accepted-In Progress,complete,Ingemar-Org line A2,2011-07-25 16:09:00+00:00,Accepted-In Progress,Ingemar,Org line A2,1-543227320,Variant 177,177,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ingemar-Org line A2,2011-08-24 13:23:58+00:00,Queued-Awaiting Assignment,Ingemar,Org line A2,1-543227320,Variant 177,177,Fluxicon Disco
Accepted-In Progress,complete,Lena-Org line A2,2011-08-24 13:23:59+00:00,Accepted-In Progress,Lena,Org line A2,1-543227320,Variant 177,177,Fluxicon Disco
Accepted-Assigned,complete,Ingemar-Org line A2,2011-08-30 12:38:16+00:00,Accepted-Assigned,Ingemar,Org line A2,1-543227320,Variant 177,177,Fluxicon Disco
Accepted-In Progress,complete,Lena-Org line A2,2011-08-30 12:41:59+00:00,Accepted-In Progress,Lena,Org line A2,1-543227320,Variant 177,177,Fluxicon Disco
Accepted-Wait,complete,Lena-Org line A2,2011-12-27 09:49:03+00:00,Accepted-Wait,Lena,Org line A2,1-543227320,Variant 177,177,Fluxicon Disco
Accepted-In Progress,complete,Lena-Org line A2,2012-01-12 09:22:58+00:00,Accepted-In Progress,Lena,Org line A2,1-543227320,Variant 177,177,Fluxicon Disco
Completed-Closed,complete,Lena-Org line A2,2012-01-12 09:22:59+00:00,Completed-Closed,Lena,Org line A2,1-543227320,Variant 177,177,Fluxicon Disco
Queued-Awaiting Assignment,complete,Kymaria-Org line C,2012-01-26 18:30:56+00:00,Queued-Awaiting Assignment,Kymaria,Org line C,1-653314473,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Kymaria-Org line C,2012-02-17 15:17:24+00:00,Accepted-In Progress,Kymaria,Org line C,1-653314473,Variant 8,8,Fluxicon Disco
Completed-Closed,complete,Kymaria-Org line C,2012-03-23 15:15:21+00:00,Completed-Closed,Kymaria,Org line C,1-653314473,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Shin-Org line C,2012-04-23 07:29:47+00:00,Accepted-In Progress,Shin,Org line C,1-729440922,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Shin-Org line C,2012-04-25 09:20:11+00:00,Completed-Closed,Shin,Org line C,1-729440922,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Torbjörn-Org line G4,2012-02-27 09:54:31+00:00,Accepted-In Progress,Torbjörn,Org line G4,1-688491391,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Torbjörn-Org line G4,2012-03-01 09:26:48+00:00,Completed-Closed,Torbjörn,Org line G4,1-688491391,Variant 1,1,Fluxicon Disco
Accepted-Assigned,complete,Harikumar-Org line A2,2011-12-02 12:35:34+00:00,Accepted-Assigned,Harikumar,Org line A2,1-619175501,Variant 18,18,Fluxicon Disco
Accepted-In Progress,complete,Harikumar-Org line A2,2011-12-06 09:22:13+00:00,Accepted-In Progress,Harikumar,Org line A2,1-619175501,Variant 18,18,Fluxicon Disco
Completed-Closed,complete,Harikumar-Org line A2,2012-03-30 15:12:54+00:00,Completed-Closed,Harikumar,Org line A2,1-619175501,Variant 18,18,Fluxicon Disco
Accepted-In Progress,complete,Carin-Org line A2,2010-09-28 14:22:31+00:00,Accepted-In Progress,Carin,Org line A2,1-405112616,Variant 73,73,Fluxicon Disco
Accepted-Assigned,complete,Carin-Org line A2,2010-09-28 14:26:58+00:00,Accepted-Assigned,Carin,Org line A2,1-405112616,Variant 73,73,Fluxicon Disco
Accepted-Assigned,complete,Lennart-Org line A2,2011-12-11 19:57:51+00:00,Accepted-Assigned,Lennart,Org line A2,1-405112616,Variant 73,73,Fluxicon Disco
Accepted-In Progress,complete,Ann-Org line A2,2012-03-30 12:42:05+00:00,Accepted-In Progress,Ann,Org line A2,1-405112616,Variant 73,73,Fluxicon Disco
Accepted-Wait,complete,Ann-Org line A2,2012-03-30 12:42:14+00:00,Accepted-Wait,Ann,Org line A2,1-405112616,Variant 73,73,Fluxicon Disco
Completed-Closed,complete,Ann-Org line A2,2012-05-28 08:33:05+00:00,Completed-Closed,Ann,Org line A2,1-405112616,Variant 73,73,Fluxicon Disco
Accepted-In Progress,complete,J-Org line C,2011-11-30 09:02:03+00:00,Accepted-In Progress,J,Org line C,1-618171180,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,J-Org line C,2011-11-30 09:13:35+00:00,Accepted-Wait,J,Org line C,1-618171180,Variant 3,3,Fluxicon Disco
