event,lifecycle:transition,org:resource,completeTime,Activity,Resource,org:group,case,case:variant,case:variant-index,case:creator
Accepted-In Progress,complete,Anson-Org line A2,2012-05-11 14:23:52+03:00,Accepted-In Progress,Anson,Org line A2,1-672807011,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Anson-Org line A2,2012-05-11 14:24:43+03:00,Completed-Closed,Anson,Org line A2,1-672807011,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Agneta-Org line A2,2012-02-13 22:56:19+02:00,Accepted-In Progress,Agneta,Org line A2,1-672860819,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Agneta-Org line A2,2012-02-13 22:56:32+02:00,Accepted-In Progress,Agneta,Org line A2,1-672860819,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Agneta-Org line A2,2012-02-16 09:48:49+02:00,Completed-Closed,Agneta,Org line A2,1-672860819,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Ward-Org line A2,2012-02-14 06:26:05+02:00,Accepted-In Progress,Ward,Org line A2,1-672862385,Variant 11,11,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ward-Org line A2,2012-02-14 06:28:26+02:00,Queued-Awaiting Assignment,Ward,Org line A2,1-672862385,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Ward-Org line F,2012-02-28 12:13:07+02:00,Accepted-In Progress,Ward,Org line F,1-672862385,Variant 11,11,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ingmar-Org line A2,2012-02-28 12:14:57+02:00,Queued-Awaiting Assignment,Ingmar,Org line A2,1-672862385,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Ingmar-Org line A2,2012-02-28 12:17:50+02:00,Accepted-In Progress,Ingmar,Org line A2,1-672862385,Variant 11,11,Fluxicon Disco
Completed-Closed,complete,Ingmar-Org line A2,2012-05-15 12:09:18+03:00,Completed-Closed,Ingmar,Org line A2,1-672862385,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Torbjörn-Org line G4,2012-02-14 10:06:50+02:00,Accepted-In Progress,Torbjörn,Org line G4,1-673056371,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Torbjörn-Org line G4,2012-04-19 21:09:38+03:00,Completed-Closed,Torbjörn,Org line G4,1-673056371,Variant 1,1,Fluxicon Disco
Queued-Awaiting Assignment,complete,Leif-Org line C,2012-02-14 10:48:36+02:00,Queued-Awaiting Assignment,Leif,Org line C,1-672975080,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Steve-Org line C,2012-02-14 15:47:11+02:00,Accepted-In Progress,Steve,Org line C,1-672975080,Variant 8,8,Fluxicon Disco
Completed-Closed,complete,Steve-Org line C,2012-02-15 12:00:42+02:00,Completed-Closed,Steve,Org line C,1-672975080,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Erik-Org line G4,2012-02-14 11:46:27+02:00,Accepted-In Progress,Erik,Org line G4,1-673151866,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Erik-Org line G4,2012-02-14 16:19:06+02:00,Completed-Closed,Erik,Org line G4,1-673151866,Variant 1,1,Fluxicon Disco
Accepted-Assigned,complete,Per-Eric-Org line A2,2012-02-14 13:37:01+02:00,Accepted-Assigned,Per-Eric,Org line A2,1-673197539,Variant 272,272,Fluxicon Disco
Accepted-Wait,complete,Per-Eric-Org line A2,2012-02-14 13:39:35+02:00,Accepted-Wait,Per-Eric,Org line A2,1-673197539,Variant 272,272,Fluxicon Disco
Completed-Closed,complete,Per-Eric-Org line A2,2012-02-16 16:44:17+02:00,Completed-Closed,Per-Eric,Org line A2,1-673197539,Variant 272,272,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-14 13:38:20+02:00,Accepted-In Progress,Ewa,Org line G3,1-673143636,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-14 13:53:55+02:00,Completed-Closed,Ewa,Org line G3,1-673143636,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Vesa-Org line C,2012-02-14 13:50:22+02:00,Accepted-In Progress,Vesa,Org line C,1-673224718,Variant 9,9,Fluxicon Disco
Queued-Awaiting Assignment,complete,Vesa-Org line C,2012-02-14 13:55:42+02:00,Queued-Awaiting Assignment,Vesa,Org line C,1-673224718,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Björn-Org line C,2012-02-14 17:23:07+02:00,Accepted-In Progress,Björn,Org line C,1-673224718,Variant 9,9,Fluxicon Disco
Accepted-Wait,complete,Björn-Org line C,2012-04-19 15:42:59+03:00,Accepted-Wait,Björn,Org line C,1-673224718,Variant 9,9,Fluxicon Disco
Completed-Closed,complete,Björn-Org line C,2012-05-14 17:40:59+03:00,Completed-Closed,Björn,Org line C,1-673224718,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line A2,2012-02-14 16:26:19+02:00,Accepted-In Progress,Mikael,Org line A2,1-673405851,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Mikael-Org line A2,2012-02-29 15:41:13+02:00,Completed-Closed,Mikael,Org line A2,1-673405851,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Ray-Org line A2,2012-02-14 16:32:26+02:00,Accepted-In Progress,Ray,Org line A2,1-673359575,Variant 27,27,Fluxicon Disco
Accepted-Wait,complete,Ray-Org line A2,2012-02-14 16:36:30+02:00,Accepted-Wait,Ray,Org line A2,1-673359575,Variant 27,27,Fluxicon Disco
Accepted-Wait,complete,Ray-Org line A2,2012-02-16 15:31:15+02:00,Accepted-Wait,Ray,Org line A2,1-673359575,Variant 27,27,Fluxicon Disco
Accepted-In Progress,complete,Ray-Org line A2,2012-03-30 17:10:58+03:00,Accepted-In Progress,Ray,Org line A2,1-673359575,Variant 27,27,Fluxicon Disco
Completed-Closed,complete,Ray-Org line A2,2012-03-30 17:11:47+03:00,Completed-Closed,Ray,Org line A2,1-673359575,Variant 27,27,Fluxicon Disco
Accepted-Wait,complete,Lena-Org line A2,2012-02-14 17:31:14+02:00,Accepted-Wait,Lena,Org line A2,1-673429845,Variant 273,273,Fluxicon Disco
Queued-Awaiting Assignment,complete,Lena-Org line A2,2012-02-14 17:33:03+02:00,Queued-Awaiting Assignment,Lena,Org line A2,1-673429845,Variant 273,273,Fluxicon Disco
Queued-Awaiting Assignment,complete,John-Org line A2,2012-02-14 18:09:16+02:00,Queued-Awaiting Assignment,John,Org line A2,1-673429845,Variant 273,273,Fluxicon Disco
Accepted-In Progress,complete,Stephen-Org line A2,2012-02-15 12:19:29+02:00,Accepted-In Progress,Stephen,Org line A2,1-673429845,Variant 273,273,Fluxicon Disco
Completed-Closed,complete,Stephen-Org line A2,2012-02-15 12:24:40+02:00,Completed-Closed,Stephen,Org line A2,1-673429845,Variant 273,273,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line G4,2012-02-14 18:19:57+02:00,Accepted-In Progress,Mikael,Org line G4,1-673434441,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Mikael-Org line G4,2012-03-20 18:33:11+02:00,Completed-Closed,Mikael,Org line G4,1-673434441,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Pratap-Org line C,2012-02-14 20:00:21+02:00,Accepted-In Progress,Pratap,Org line C,1-673487817,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Pratap-Org line C,2012-02-20 09:40:07+02:00,Accepted-Wait,Pratap,Org line C,1-673487817,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Pratap-Org line C,2012-02-20 19:07:08+02:00,Completed-Closed,Pratap,Org line C,1-673487817,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line A2,2012-02-15 12:26:37+02:00,Accepted-In Progress,Mikael,Org line A2,1-675150672,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,Mikael-Org line A2,2012-02-15 12:27:23+02:00,Queued-Awaiting Assignment,Mikael,Org line A2,1-675150672,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line G4,2012-02-20 14:46:17+02:00,Accepted-In Progress,Mikael,Org line G4,1-675150672,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Peter-Org line A2,2012-04-25 17:04:42+03:00,Accepted-Assigned,Peter,Org line A2,1-675150672,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line A2,2012-04-25 17:04:43+03:00,Accepted-In Progress,Mikael,Org line A2,1-675150672,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Mikael-Org line A2,2012-04-25 17:07:50+03:00,Completed-Closed,Mikael,Org line A2,1-675150672,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Krzysztof-Org line A2,2012-02-15 12:57:26+02:00,Accepted-In Progress,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-Assigned,complete,Krzysztof-Org line A2,2012-02-15 13:04:34+02:00,Accepted-Assigned,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-In Progress,complete,Krzysztof-Org line A2,2012-02-16 13:15:34+02:00,Accepted-In Progress,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-Wait,complete,Krzysztof-Org line A2,2012-03-28 13:23:58+03:00,Accepted-Wait,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-In Progress,complete,Krzysztof-Org line A2,2012-04-11 14:49:27+03:00,Accepted-In Progress,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-Wait,complete,Krzysztof-Org line A2,2012-04-11 17:10:11+03:00,Accepted-Wait,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Completed-Closed,complete,Krzysztof-Org line A2,2012-04-27 11:37:00+03:00,Completed-Closed,Krzysztof,Org line A2,1-675150191,Variant 72,72,Fluxicon Disco
Accepted-In Progress,complete,Ray-Org line A2,2012-02-15 13:05:04+02:00,Accepted-In Progress,Ray,Org line A2,1-675115616,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ray-Org line A2,2012-05-29 10:38:52+03:00,Completed-Closed,Ray,Org line A2,1-675115616,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-15 14:55:14+02:00,Accepted-In Progress,Ewa,Org line G3,1-675664904,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-15 14:55:56+02:00,Completed-Closed,Ewa,Org line G3,1-675664904,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Edward-Org line C,2012-02-15 16:01:20+02:00,Accepted-In Progress,Edward,Org line C,1-675739721,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Edward-Org line C,2012-04-02 17:56:26+03:00,Completed-Closed,Edward,Org line C,1-675739721,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Prashant-Org line C,2012-02-15 16:44:16+02:00,Accepted-In Progress,Prashant,Org line C,1-675797761,Variant 53,53,Fluxicon Disco
Accepted-Wait,complete,Prashant-Org line C,2012-02-17 13:15:31+02:00,Accepted-Wait,Prashant,Org line C,1-675797761,Variant 53,53,Fluxicon Disco
Completed-Closed,complete,Prashant-Org line C,2012-02-29 11:05:59+02:00,Completed-Closed,Prashant,Org line C,1-675797761,Variant 53,53,Fluxicon Disco
Accepted-In Progress,complete,Prashant-Org line C,2012-03-07 09:22:33+02:00,Accepted-In Progress,Prashant,Org line C,1-675797761,Variant 53,53,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2012-03-07 09:24:27+02:00,Queued-Awaiting Assignment,Robert,Org line C,1-675797761,Variant 53,53,Fluxicon Disco
Accepted-In Progress,complete,Bhavesh-Org line C,2012-03-13 12:40:45+02:00,Accepted-In Progress,Bhavesh,Org line C,1-675797761,Variant 53,53,Fluxicon Disco
Completed-Closed,complete,Bhavesh-Org line C,2012-03-13 12:40:54+02:00,Completed-Closed,Bhavesh,Org line C,1-675797761,Variant 53,53,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2012-02-15 16:53:08+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-675046360,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2012-02-22 14:45:37+02:00,Accepted-Wait,Lisbeth,Org line A2,1-675046360,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Lisbeth-Org line A2,2012-03-09 17:21:48+02:00,Completed-Closed,Lisbeth,Org line A2,1-675046360,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Prashant-Org line C,2012-02-15 16:57:25+02:00,Accepted-In Progress,Prashant,Org line C,1-675685459,Variant 53,53,Fluxicon Disco
Accepted-Wait,complete,Prashant-Org line C,2012-02-15 17:00:08+02:00,Accepted-Wait,Prashant,Org line C,1-675685459,Variant 53,53,Fluxicon Disco
Completed-Closed,complete,Prashant-Org line C,2012-02-27 13:44:46+02:00,Completed-Closed,Prashant,Org line C,1-675685459,Variant 53,53,Fluxicon Disco
Accepted-In Progress,complete,Prashant-Org line C,2012-03-07 09:20:08+02:00,Accepted-In Progress,Prashant,Org line C,1-675685459,Variant 53,53,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2012-03-07 09:22:21+02:00,Queued-Awaiting Assignment,Robert,Org line C,1-675685459,Variant 53,53,Fluxicon Disco
Accepted-In Progress,complete,Vaibhav-Org line C,2012-03-12 20:20:37+02:00,Accepted-In Progress,Vaibhav,Org line C,1-675685459,Variant 53,53,Fluxicon Disco
Completed-Closed,complete,Vaibhav-Org line C,2012-03-12 20:20:52+02:00,Completed-Closed,Vaibhav,Org line C,1-675685459,Variant 53,53,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2012-02-15 17:05:28+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-675758382,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Lisbeth-Org line A2,2012-02-22 14:46:24+02:00,Accepted-Wait,Lisbeth,Org line A2,1-675758382,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Lisbeth-Org line A2,2012-03-09 17:20:43+02:00,Completed-Closed,Lisbeth,Org line A2,1-675758382,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Mahesh-Org line C,2012-02-15 17:48:42+02:00,Accepted-In Progress,Mahesh,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Queued-Awaiting Assignment,complete,Mahesh-Org line C,2012-02-15 17:52:05+02:00,Queued-Awaiting Assignment,Mahesh,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Accepted-In Progress,complete,Radha-Org line C,2012-02-16 12:27:09+02:00,Accepted-In Progress,Radha,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Accepted-Assigned,complete,MV-Org line C,2012-02-16 12:27:46+02:00,Accepted-Assigned,MV,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Queued-Awaiting Assignment,complete,Mahesh-Org line C,2012-02-16 14:46:42+02:00,Queued-Awaiting Assignment,Mahesh,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Accepted-In Progress,complete,MV-Org line C,2012-02-16 14:46:47+02:00,Accepted-In Progress,MV,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Accepted-Assigned,complete,Mahesh-Org line C,2012-02-16 14:47:47+02:00,Accepted-Assigned,Mahesh,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Accepted-Assigned,complete,Göran-Org line C,2012-02-16 14:48:06+02:00,Accepted-Assigned,Göran,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Queued-Awaiting Assignment,complete,Pratap-Org line C,2012-05-09 15:24:02+03:00,Queued-Awaiting Assignment,Pratap,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Accepted-In Progress,complete,Nirmal-Org line C,2012-05-09 16:24:54+03:00,Accepted-In Progress,Nirmal,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Accepted-Wait,complete,Nirmal-Org line C,2012-05-09 17:30:16+03:00,Accepted-Wait,Nirmal,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Accepted-Assigned,complete,Pratap-Org line C,2012-05-09 17:48:23+03:00,Accepted-Assigned,Pratap,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Accepted-In Progress,complete,Kristoffer-Org line C,2012-05-10 17:44:23+03:00,Accepted-In Progress,Kristoffer,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Completed-Closed,complete,Kristoffer-Org line C,2012-05-10 17:44:54+03:00,Completed-Closed,Kristoffer,Org line C,1-675826063,Variant 274,274,Fluxicon Disco
Queued-Awaiting Assignment,complete,Kymaria-Org line C,2012-02-15 17:49:28+02:00,Queued-Awaiting Assignment,Kymaria,Org line C,1-675828021,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Kymaria-Org line C,2012-02-17 17:20:31+02:00,Accepted-In Progress,Kymaria,Org line C,1-675828021,Variant 8,8,Fluxicon Disco
Completed-Closed,complete,Kymaria-Org line C,2012-03-23 17:11:03+02:00,Completed-Closed,Kymaria,Org line C,1-675828021,Variant 8,8,Fluxicon Disco
Accepted-In Progress,complete,Lisbeth-Org line A2,2012-02-15 17:58:48+02:00,Accepted-In Progress,Lisbeth,Org line A2,1-675758444,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Lisbeth-Org line A2,2012-04-16 12:58:44+03:00,Completed-Closed,Lisbeth,Org line A2,1-675758444,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Trevor-Org line C,2012-02-16 10:10:58+02:00,Accepted-In Progress,Trevor,Org line C,1-678370811,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Trevor-Org line C,2012-02-16 11:34:16+02:00,Accepted-In Progress,Trevor,Org line C,1-678370811,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Trevor-Org line C,2012-02-17 11:02:45+02:00,Completed-Closed,Trevor,Org line C,1-678370811,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Mahesh-Org line C,2012-02-16 10:28:00+02:00,Accepted-In Progress,Mahesh,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Queued-Awaiting Assignment,complete,Mahesh-Org line C,2012-02-16 10:35:33+02:00,Queued-Awaiting Assignment,Mahesh,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Accepted-In Progress,complete,Radha-Org line C,2012-02-16 12:23:45+02:00,Accepted-In Progress,Radha,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Accepted-Assigned,complete,MV-Org line C,2012-02-16 12:23:56+02:00,Accepted-Assigned,MV,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Queued-Awaiting Assignment,complete,William-Org line C,2012-02-16 12:28:50+02:00,Queued-Awaiting Assignment,William,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Accepted-In Progress,complete,William-Org line C,2012-02-21 15:39:41+02:00,Accepted-In Progress,William,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Accepted-Assigned,complete,Ingemar-Org line C,2012-02-21 15:40:22+02:00,Accepted-Assigned,Ingemar,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Accepted-In Progress,complete,Shaji-Org line C,2012-03-13 09:57:12+02:00,Accepted-In Progress,Shaji,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Accepted-Assigned,complete,Suresh-Org line C,2012-03-13 09:57:38+02:00,Accepted-Assigned,Suresh,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Accepted-In Progress,complete,Suresh-Org line C,2012-03-15 17:39:19+02:00,Accepted-In Progress,Suresh,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Completed-Closed,complete,Suresh-Org line C,2012-03-15 17:41:08+02:00,Completed-Closed,Suresh,Org line C,1-677811170,Variant 275,275,Fluxicon Disco
Accepted-In Progress,complete,Mahesh-Org line C,2012-02-16 10:51:25+02:00,Accepted-In Progress,Mahesh,Org line C,1-678755621,Variant 276,276,Fluxicon Disco
Queued-Awaiting Assignment,complete,Mahesh-Org line C,2012-02-16 10:57:16+02:00,Queued-Awaiting Assignment,Mahesh,Org line C,1-678755621,Variant 276,276,Fluxicon Disco
Accepted-In Progress,complete,Pradeesh-Org line C,2012-02-27 12:01:03+02:00,Accepted-In Progress,Pradeesh,Org line C,1-678755621,Variant 276,276,Fluxicon Disco
Accepted-Wait,complete,Pradeesh-Org line C,2012-02-27 17:46:07+02:00,Accepted-Wait,Pradeesh,Org line C,1-678755621,Variant 276,276,Fluxicon Disco
Queued-Awaiting Assignment,complete,William-Org line C,2012-03-16 17:56:40+02:00,Queued-Awaiting Assignment,William,Org line C,1-678755621,Variant 276,276,Fluxicon Disco
Accepted-In Progress,complete,William-Org line C,2012-03-28 16:28:21+03:00,Accepted-In Progress,William,Org line C,1-678755621,Variant 276,276,Fluxicon Disco
Accepted-Assigned,complete,Julien-Org line C,2012-03-28 16:29:00+03:00,Accepted-Assigned,Julien,Org line C,1-678755621,Variant 276,276,Fluxicon Disco
Accepted-In Progress,complete,Julien-Org line C,2012-05-09 16:35:16+03:00,Accepted-In Progress,Julien,Org line C,1-678755621,Variant 276,276,Fluxicon Disco
Completed-Closed,complete,Julien-Org line C,2012-05-29 14:01:32+03:00,Completed-Closed,Julien,Org line C,1-678755621,Variant 276,276,Fluxicon Disco
Accepted-Assigned,complete,Samira-Org line G4,2012-02-16 12:22:52+02:00,Accepted-Assigned,Samira,Org line G4,1-678626550,Variant 18,18,Fluxicon Disco
Accepted-In Progress,complete,Samira-Org line G4,2012-05-02 13:00:11+03:00,Accepted-In Progress,Samira,Org line G4,1-678626550,Variant 18,18,Fluxicon Disco
Completed-Closed,complete,Samira-Org line G4,2012-05-02 13:03:30+03:00,Completed-Closed,Samira,Org line G4,1-678626550,Variant 18,18,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-02-16 13:01:43+02:00,Accepted-In Progress,Ewa,Org line G3,1-679235759,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-02-16 13:05:54+02:00,Completed-Closed,Ewa,Org line G3,1-679235759,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Maltesh-Org line B,2012-02-17 00:42:04+02:00,Accepted-In Progress,Maltesh,Org line B,1-681706381,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Maltesh-Org line B,2012-03-08 10:48:50+02:00,Completed-Closed,Maltesh,Org line B,1-681706381,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,David-Org line C,2012-02-17 10:50:35+02:00,Accepted-In Progress,David,Org line C,1-681929091,Variant 2,2,Fluxicon Disco
Queued-Awaiting Assignment,complete,David-Org line C,2012-02-17 10:53:16+02:00,Queued-Awaiting Assignment,David,Org line C,1-681929091,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,David-Org line C,2012-03-21 09:19:43+02:00,Accepted-In Progress,David,Org line C,1-681929091,Variant 2,2,Fluxicon Disco
Accepted-Assigned,complete,Mattias-Org line C,2012-04-25 15:15:52+03:00,Accepted-Assigned,Mattias,Org line C,1-681929091,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Martin-Org line C,2012-04-25 16:23:48+03:00,Accepted-In Progress,Martin,Org line C,1-681929091,Variant 2,2,Fluxicon Disco
Completed-Closed,complete,Martin-Org line C,2012-04-25 16:25:41+03:00,Completed-Closed,Martin,Org line C,1-681929091,Variant 2,2,Fluxicon Disco
Accepted-In Progress,complete,Samira-Org line G4,2012-02-17 10:57:37+02:00,Accepted-In Progress,Samira,Org line G4,1-681864502,Variant 6,6,Fluxicon Disco
Accepted-Assigned,complete,Samira-Org line G4,2012-02-17 11:01:05+02:00,Accepted-Assigned,Samira,Org line G4,1-681864502,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Samira-Org line G4,2012-05-02 13:04:26+03:00,Accepted-In Progress,Samira,Org line G4,1-681864502,Variant 6,6,Fluxicon Disco
Completed-Closed,complete,Samira-Org line G4,2012-05-29 10:45:23+03:00,Completed-Closed,Samira,Org line G4,1-681864502,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,--Org line C,2012-02-17 16:31:21+02:00,Accepted-In Progress,-,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,--Org line C,2012-02-17 16:38:45+02:00,Queued-Awaiting Assignment,-,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Accepted-In Progress,complete,Asmita-Org line C,2012-02-21 10:09:13+02:00,Accepted-In Progress,Asmita,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,Praveen-Org line C,2012-02-21 10:18:34+02:00,Queued-Awaiting Assignment,Praveen,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Accepted-In Progress,complete,Pankaj-Org line C,2012-02-21 16:15:19+02:00,Accepted-In Progress,Pankaj,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ganesh-Org line B,2012-02-21 16:16:13+02:00,Queued-Awaiting Assignment,Ganesh,Org line B,1-682262974,Variant 277,277,Fluxicon Disco
Accepted-In Progress,complete,Ganesh-Org line B,2012-02-23 10:16:06+02:00,Accepted-In Progress,Ganesh,Org line B,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,Anandgiri-Org line B,2012-02-23 10:16:52+02:00,Queued-Awaiting Assignment,Anandgiri,Org line B,1-682262974,Variant 277,277,Fluxicon Disco
Accepted-In Progress,complete,Anandgiri-Org line B,2012-02-23 10:39:10+02:00,Accepted-In Progress,Anandgiri,Org line B,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,--Org line C,2012-02-27 14:44:01+02:00,Queued-Awaiting Assignment,-,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Accepted-In Progress,complete,Srinivasa-Org line C,2012-02-29 14:28:57+02:00,Accepted-In Progress,Srinivasa,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ganesh-Org line B,2012-03-05 14:02:59+02:00,Queued-Awaiting Assignment,Ganesh,Org line B,1-682262974,Variant 277,277,Fluxicon Disco
Accepted-In Progress,complete,Anandgiri-Org line B,2012-03-06 12:37:49+02:00,Accepted-In Progress,Anandgiri,Org line B,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,Denis-Org line C,2012-03-09 11:06:52+02:00,Queued-Awaiting Assignment,Denis,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Accepted-In Progress,complete,Anandgiri-Org line B,2012-03-09 11:06:58+02:00,Accepted-In Progress,Anandgiri,Org line B,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,Denis-Org line C,2012-03-09 11:20:35+02:00,Queued-Awaiting Assignment,Denis,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Accepted-In Progress,complete,Nagaraj-Org line C,2012-03-09 11:53:07+02:00,Accepted-In Progress,Nagaraj,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Accepted-In Progress,complete,Nagaraj-Org line C,2012-03-09 11:58:13+02:00,Accepted-In Progress,Nagaraj,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,Ganesh-Org line B,2012-03-09 12:00:15+02:00,Queued-Awaiting Assignment,Ganesh,Org line B,1-682262974,Variant 277,277,Fluxicon Disco
Queued-Awaiting Assignment,complete,Daniel-Org line C,2012-03-30 16:37:05+03:00,Queued-Awaiting Assignment,Daniel,Org line C,1-682262974,Variant 277,277,Fluxicon Disco
